23.11.2018;14:00;Stadttourismus Winterthur;6
26.11.2018;09:20;Stadttourismus Winterthur;18
26.11.2018;09:40;Stadttourismus Winterthur;18
27.11.2018;17:30;Stadttourismus Winterthur;25
28.11.2018;10:44;Stadttourismus Winterthur;8
30.11.2018;15:52;Stadttourismus Winterthur;10
30.11.2018;17:20;Stadttourismus Winterthur;13
01.12.2018;11:30;N.N.;6
03.12.2018;14:30;Stadt Winterthur;12
03.12.2018;16:05;Stadt Winterthur;9
07.12.2018;16:10;Stadttourismus ;4
20.09.2017;16:00;Winti-Tourismus;20
21.09.2017;14:00;N.N.;40
22.09.2017;10:30;N.N.;6
23.09.2017;14:10;N.N.;22
23.09.2017;15:43;N.N.;12
25.09.2017;14:10;N.N.;12
26.09.2017;15:30;Stadttourismus Winterthur;9
27.09.2017;10:30;Stadtplanungsamt Biel ;15
30.09.2017;10:50;Stadttourismus Winterthur;5
04.10.2017;10:15;N.N.;4
04.10.2017;17:55;Stadttourismus Winterthur;11
05.10.2017;14:20;Stadttourismus Winterthur;15
05.10.2017;14:45;Stadttourismus Winterthur;16
06.10.2017;15:30;N.N.;8
06.10.2017;17:20;N.N.;3
23.10.2017;15:59;Stadttourismus Winterthur;17
25.10.2017;12:00;Ex-Stadtpraesident Winterthur;10
27.10.2017;15:30;Stadttourismus Winterthur;19
28.10.2017;15:50;Stadttourismus Winterthur;25
31.10.2017;17:40;Recht-Semester;30
01.11.2017;16:10;Winterthur Stadttourismus;6
01.11.2017;17:35;N.N.;7
03.11.2017;16:32;Winterthur Stadttourismus;7
04.11.2017;10:00;N.N.;4
08.11.2017;16:04;Winterthur Stadttourismus;15
11.11.2017;15:04;N.N.;17
16.11.2017;18:25;Winterthur Stadttourismus;25
17.11.2017;17:30;N.N.;7
18.11.2017;15:58;Winterthur Stadttourismus;20
24.11.2017;12:20;Amt f. Denkmalpflege;45
24.11.2017;17:15;N.N.;12
25.11.2017;14:30;Winterthur Stadttourismus;13
30.11.2017;19:15;N.N.;7
01.12.2017;15:30;Winterthur Stadttourismus;9
05.12.2017;16:09;Extern;3
08.12.2017;10:45;Winterthur Stadttourismus;10
13.12.2017;15:00;Winterthur Stadttourismus;9
13.12.2017;14:00;N.N.;10
15.12.2017;15:00;Winterthur Stadttourismus;20
15.12.2017;15:20;Winterthur Stadttourismus;20
15.12.2017;15:40;Winterthur Stadttourismus;20
15.12.2017;16:00;Winterthur Stadttourismus;20
15.12.2017;16:20;Winterthur Stadttourismus;20
15.12.2017;16:40;Winterthur Stadttourismus;20
15.12.2017;17:00;Winterthur Stadttourismus;20
22.12.2017;10:30;Winterthur Stadttourismus;11
