Montag,;04.05.2015;9 Uhr;0;0;0;3;5;17;4;5;2
;;11 Uhr;0;10;1;3;9;29;7;13;4
;;13 Uhr;0;7;1;2;9;52;8;6;4
;;15 Uhr;0;12;0;2;6;39;8;12;5
;;17 Uhr;0;10;0;2;10;39;5;11;6
;;19 Uhr;0;7;0;1;8;20;5;5;3
;;;;;;;;;;;
Dienstag,;05.05.2015;9 Uhr;0;6;0;0;6;18;3;17;8
;;11 Uhr;0;7;0;0;16;41;5;16;6
;;13 Uhr;0;7;1;2;9;32;4;11;6
;;15 Uhr;0;9;0;2;13;52;6;15;7
;;17 Uhr;0;14;0;9;15;15;6;16;8
;;19 Uhr;0;1;0;4;6;13;4;13;6
;;;;;;;;;;;
Mittwoch,;06.05.2015;9 Uhr;0;1;2;0;3;21;4;12;4
;;11 Uhr;0;5;6;0;7;32;8;23;7
;;13 Uhr;0;6;3;1;7;33;8;21;7
;;15 Uhr;0;12;3;6;13;49;8;20;8
;;17 Uhr;0;12;0;3;9;36;9;14;6
;;19 Uhr;0;2;0;0;4;15;8;4;3
;;;;;;;;;;;
Donnerstag,;07.05.2015;9 Uhr;0;1;0;1;6;24;2;3;2
;;11 Uhr;0;3;0;1;8;35;4;13;7
;;13 Uhr;0;7;1;2;8;48;6;10;5
;;15 Uhr;0;9;0;2;16;61;11;10;5
;;17 Uhr;0;11;1;0;14;45;18;10;4
;;19 Uhr;0;4;2;0;6;17;8;6;3
;;;;;;;;;;;
Freitag,;08.05.2015;9 Uhr;0;1;0;1;6;10;0;8;4
;;11 Uhr;0;21;1;4;16;47;14;18;8
;;13 Uhr;0;6;3;6;9;30;4;6;3
;;15 Uhr;8;23;2;4;10;42;5;18;7
;;17 Uhr;0;7;0;0;5;35;9;14;5
;;19 Uhr;0;4;0;0;1;16;2;5;3
;;;;;;;;;;;
Samstag,;09.05.2015;9 Uhr;0;4;0;2;1;27;8;9;6
;;11 Uhr;0;17;0;2;18;62;9;17;8
;;13 Uhr;0;16;0;2;20;70;10;16;8
;;15 Uhr;0;28;1;5;23;74;12;16;8
;;17 Uhr;0;0;0;0;0;0;0;0;0
;;19 Uhr;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Montag,;11.05.2015;9 Uhr;0;2;0;1;4;25;4;5;2
;;11 Uhr;0;9;0;2;8;40;5;18;8
;;13 Uhr;0;7;2;5;11;45;9;19;8
;;15 Uhr;0;9;0;1;12;47;10;20;8
;;17 Uhr;0;5;0;3;15;52;7;14;5
