Montag,;4.5.15;9 Uhr;0;23
;;11 Uhr;0;32
;;13 Uhr;0;39
;;15 Uhr;0;49
;;17 Uhr;0;52
;;19 Uhr;0;22
;;;;
Dienstag,;5.5.15;9 Uhr;0;21
;;11 Uhr;0;28
;;13 Uhr;0;36
;;15 Uhr;0;52
;;17 Uhr;0;38
;;19 Uhr;0;22
;;;;
Mittwoch,;6.5.15;9 Uhr;0;16
;;11 Uhr;0;26
;;13 Uhr;0;37
;;15 Uhr;1;43
;;17 Uhr;0;40
;;19 Uhr;0;23
;;;;
Donnerstag,;7.5.15;9 Uhr;0;18
;;11 Uhr;1;58
;;13 Uhr;0;40
;;15 Uhr;0;42
;;17 Uhr;0;31
;;19 Uhr;0;7
;;;;
Freitag,;8.5.15;9 Uhr;0;12
;;11 Uhr;0;36
;;13 Uhr;0;32
;;15 Uhr;0;35
;;17 Uhr;0;21
;;19 Uhr;0;11
;;;;
Samstag,;9.5.15;9 Uhr;0;
;;11 Uhr;0;36
;;13 Uhr;0;29
;;15 Uhr;0;25
;;17 Uhr;0;
;;19 Uhr;0;
;;;;
Montag,;11.5.15;9 Uhr;0;15
;;11 Uhr;0;43
;;13 Uhr;0;49
;;15 Uhr;0;55
;;17 Uhr;0;42
;;19 Uhr;0;40
;;;;
Dienstag,;12.5.15;9 Uhr;0;18
;;11 Uhr;0;25
;;13 Uhr;0;25
;;15 Uhr;0;45
;;17 Uhr;0;46
;;19 Uhr;0;24
;;;;
Mittwoch,;13.5.15;9 Uhr;0;9
;;11 Uhr;0;29
;;13 Uhr;0;31
;;15 Uhr;2;32
;;17 Uhr;0;27
;;19 Uhr;0;
;;;;
Freitag,;15.5.15;9 Uhr;0;14
;;11 Uhr;0;30
;;13 Uhr;0;32
;;15 Uhr;0;45
;;17 Uhr;0;42
;;19 Uhr;0;29
;;;;
Samstag,;16.5.15;9 Uhr;0;
;;11 Uhr;0;34
;;13 Uhr;0;41
;;15 Uhr;0;38
